date,steps,distanceM,runDistance,caloriesBurned,distanceKm,runDistanceKm
10/05/2017,4578,3237,115,123,3.237,0.115
11/05/2017,7143,4817,281,162,4.817,0.281
12/05/2017,13748,10094,188,350,10.094,0.188
13/05/2017,15947,10799,222,357,10.799,0.222
14/05/2017,9360,7207,47,267,7.207,0.047
15/05/2017,5966,4031,272,139,4.031,0.272
16/05/2017,3809,2723,129,104,2.723,0.129
17/05/2017,5900,4033,389,139,4.033,0.389
18/05/2017,9813,6536,63,220,6.536,0.063
19/05/2017,6429,4347,64,148,4.347,0.064
20/05/2017,13506,8932,0,290,8.932,0.000
21/05/2017,3544,2346,0,98,2.346,0.000
22/05/2017,5936,4074,193,146,4.074,0.193
23/05/2017,12618,9195,660,310,9.195,0.660
24/05/2017,17604,12798,512,411,12.798,0.512
25/05/2017,10338,7845,241,270,7.845,0.241
26/05/2017,6952,4849,0,164,4.849,0.000
27/05/2017,26122,18349,293,576,18.349,0.293
28/05/2017,20480,14344,154,454,14.344,0.154
29/05/2017,5272,3607,0,124,3.607,0.000
30/05/2017,10354,7448,479,248,7.448,0.479
31/05/2017,10016,6892,137,221,6.892,0.137
01/06/2017,5778,4001,68,141,4.001,0.068
02/06/2017,4579,3057,167,113,3.057,0.167
03/06/2017,10868,7179,126,235,7.179,0.126
04/06/2017,2234,1457,97,62,1.457,0.097
05/06/2017,3674,2514,126,87,2.514,0.126
06/06/2017,11315,8189,423,269,8.189,0.423
07/06/2017,17788,12788,163,399,12.788,0.163
08/06/2017,5459,3672,166,117,3.672,0.166
09/06/2017,8960,6306,100,214,6.306,0.100
10/06/2017,13480,9480,183,297,9.480,0.183
11/06/2017,19051,13334,98,414,13.334,0.098
12/06/2017,11668,8030,52,250,8.030,0.052
13/06/2017,7808,5219,137,160,5.219,0.137
14/06/2017,5347,4064,0,130,4.064,0.000
15/06/2017,14994,10759,887,356,10.759,0.887
16/06/2017,5108,3457,24,128,3.457,0.024
17/06/2017,17437,11516,164,377,11.516,0.164
18/06/2017,2160,1396,0,60,1.396,0.000
19/06/2017,4657,3314,167,120,3.314,0.167
20/06/2017,4862,3521,342,128,3.521,0.342
21/06/2017,2770,1950,253,75,1.950,0.253
22/06/2017,5164,3535,378,124,3.535,0.378
23/06/2017,5071,3503,297,118,3.503,0.297
24/06/2017,26745,19494,1056,675,19.494,1.056
25/06/2017,14538,10176,740,341,10.176,0.740
26/06/2017,3858,2685,334,98,2.685,0.334
27/06/2017,4713,3361,188,120,3.361,0.188
28/06/2017,5496,3803,311,136,3.803,0.311
29/06/2017,6548,4588,466,160,4.588,0.466
30/06/2017,15384,10372,712,338,10.372,0.712
01/07/2017,10228,6684,678,224,6.684,0.678
02/07/2017,10153,7500,351,267,7.500,0.351
03/07/2017,16628,12517,373,427,12.517,0.373
04/07/2017,18676,14266,469,503,14.266,0.469
05/07/2017,4904,3473,390,120,3.473,0.390
06/07/2017,19022,13515,763,442,13.515,0.763
07/07/2017,5025,3681,419,133,3.681,0.419
08/07/2017,10115,7149,584,259,7.149,0.584
09/07/2017,4262,3279,170,128,3.279,0.170
10/07/2017,2402,1680,249,62,1.680,0.249
11/07/2017,811,561,111,22,0.561,0.111
12/07/2017,2538,1777,228,67,1.777,0.228
13/07/2017,4737,3538,493,132,3.538,0.493
14/07/2017,2710,1880,198,76,1.880,0.198
15/07/2017,14709,9665,959,305,9.665,0.959
16/07/2017,10059,7309,167,237,7.309,0.167
17/07/2017,11211,7929,847,269,7.929,0.847
18/07/2017,2695,1901,377,71,1.901,0.377
19/07/2017,4565,3327,187,120,3.327,0.187
20/07/2017,7260,5154,491,183,5.154,0.491
21/07/2017,14818,9725,1040,305,9.725,1.040
22/07/2017,21404,14668,1072,476,14.668,1.072
23/07/2017,7558,5627,252,188,5.627,0.252
24/07/2017,12012,9154,391,331,9.154,0.391
25/07/2017,8734,5786,500,198,5.786,0.500
26/07/2017,4006,2829,430,107,2.829,0.430
27/07/2017,6238,4450,459,163,4.450,0.459
28/07/2017,17688,12093,904,391,12.093,0.904
29/07/2017,37126,26491,500,828,26.491,0.500
30/07/2017,23826,16986,373,543,16.986,0.373
31/07/2017,7119,5077,434,188,5.077,0.434
01/08/2017,4015,2852,356,107,2.852,0.356
02/08/2017,12065,8364,677,278,8.364,0.677
03/08/2017,2553,1806,307,70,1.806,0.307
04/08/2017,14331,10880,491,384,10.880,0.491
05/08/2017,17125,12100,689,409,12.100,0.689
06/08/2017,4690,3568,185,140,3.568,0.185
07/08/2017,2599,1870,180,66,1.870,0.180
08/08/2017,8692,6165,317,202,6.165,0.317
09/08/2017,13583,10250,376,345,10.250,0.376
10/08/2017,17925,12914,438,428,12.914,0.438
11/08/2017,5911,3923,310,131,3.923,0.310
12/08/2017,17040,11521,832,373,11.521,0.832
13/08/2017,10490,7743,192,261,7.743,0.192
14/08/2017,4005,2684,307,91,2.684,0.307
15/08/2017,5645,4047,404,154,4.047,0.404
16/08/2017,6877,4795,620,176,4.795,0.620
17/08/2017,5650,3881,403,129,3.881,0.403
18/08/2017,9389,6172,676,202,6.172,0.676
19/08/2017,15915,11255,392,362,11.255,0.392
20/08/2017,11850,9021,159,304,9.021,0.159
21/08/2017,5985,4309,215,149,4.309,0.215
22/08/2017,18335,12720,1400,428,12.720,1.400
23/08/2017,2866,1988,366,75,1.988,0.366
24/08/2017,8896,6635,145,237,6.635,0.145
25/08/2017,10408,7107,639,232,7.107,0.639
26/08/2017,17635,12489,463,408,12.489,0.463
27/08/2017,2665,1907,141,70,1.907,0.141
28/08/2017,7802,5555,737,198,5.555,0.737
29/08/2017,4885,3268,391,111,3.268,0.391
30/08/2017,3002,2112,346,80,2.112,0.346
31/08/2017,10176,7529,357,272,7.529,0.357
01/09/2017,3166,2212,221,79,2.212,0.221
02/09/2017,18094,13818,235,462,13.818,0.235
03/09/2017,30841,23002,519,793,23.002,0.519
04/09/2017,8752,5842,657,198,5.842,0.657
05/09/2017,3372,2477,256,95,2.477,0.256
06/09/2017,4600,3111,357,110,3.111,0.357
07/09/2017,5834,3930,509,134,3.930,0.509
08/09/2017,9773,7327,431,275,7.327,0.431
09/09/2017,14669,10141,802,334,10.141,0.802
10/09/2017,4788,3462,206,124,3.462,0.206
11/09/2017,4452,2982,441,111,2.982,0.441
12/09/2017,14137,10283,514,352,10.283,0.514
13/09/2017,10044,6828,613,224,6.828,0.613
14/09/2017,4408,2989,405,101,2.989,0.405
15/09/2017,8603,5997,375,197,5.997,0.375
16/09/2017,30522,20886,350,654,20.886,0.350
17/09/2017,19075,13012,304,407,13.012,0.304
18/09/2017,26213,18221,537,578,18.221,0.537
19/09/2017,25523,18991,280,625,18.991,0.280
20/09/2017,34543,24523,289,784,24.523,0.289
21/09/2017,27355,19258,466,607,19.258,0.466
22/09/2017,18863,13057,225,410,13.057,0.225
23/09/2017,4769,3362,447,123,3.362,0.447
24/09/2017,3292,2215,246,79,2.215,0.246
25/09/2017,6755,4739,569,168,4.739,0.569
26/09/2017,4751,3268,441,116,3.268,0.441
27/09/2017,6485,4477,351,154,4.477,0.351
28/09/2017,5488,3786,366,134,3.786,0.366
29/09/2017,4635,3137,347,102,3.137,0.347
30/09/2017,10977,7458,713,248,7.458,0.713
01/10/2017,6681,4907,213,176,4.907,0.213
02/10/2017,8778,6223,565,216,6.223,0.565
03/10/2017,6915,4748,417,168,4.748,0.417
04/10/2017,5033,3456,319,122,3.456,0.319
05/10/2017,5054,3363,395,117,3.363,0.395
06/10/2017,6362,4298,416,148,4.298,0.416
