date,deepSleepTime,shallowSleepTime,wakeTime,startDateTime,stopDateTime,start,stop
14/12/2022,71,220,0,2022-12-14 01:54:00+0000,2022-12-14 07:31:00+0000,2022-12-14 01:54:00,2022-12-14 07:31:00
13/12/2022,63,222,1,2022-12-13 02:28:00+0000,2022-12-13 08:24:00+0000,2022-12-13 02:28:00,2022-12-13 08:24:00
12/12/2022,64,195,1,2022-12-12 03:03:00+0000,2022-12-12 08:14:00+0000,2022-12-12 03:03:00,2022-12-12 08:14:00
11/12/2022,101,294,1,2022-12-11 02:23:00+0000,2022-12-11 10:43:00+0000,2022-12-11 02:23:00,2022-12-11 10:43:00
10/12/2022,62,251,0,2022-12-10 03:23:00+0000,2022-12-10 09:10:00+0000,2022-12-10 03:23:00,2022-12-10 09:10:00
9/12/2022,48,252,0,2022-12-09 03:16:00+0000,2022-12-09 08:52:00+0000,2022-12-09 03:16:00,2022-12-09 08:52:00
8/12/2022,68,236,0,2022-12-08 02:52:00+0000,2022-12-08 08:39:00+0000,2022-12-08 02:52:00,2022-12-08 08:39:00
7/12/2022,68,204,0,2022-12-07 02:23:00+0000,2022-12-07 08:07:00+0000,2022-12-07 02:23:00,2022-12-07 08:07:00
6/12/2022,35,233,125,2022-12-05 23:12:00+0000,2022-12-06 08:29:00+0000,2022-12-05 23:12:00,2022-12-06 08:29:00
5/12/2022,61,177,0,2022-12-05 02:56:00+0000,2022-12-05 07:41:00+0000,2022-12-05 02:56:00,2022-12-05 07:41:00
4/12/2022,45,229,0,2022-12-04 03:48:00+0000,2022-12-04 09:40:00+0000,2022-12-04 03:48:00,2022-12-04 09:40:00
3/12/2022,44,140,0,2022-12-03 03:08:00+0000,2022-12-03 06:38:00+0000,2022-12-03 03:08:00,2022-12-03 06:38:00
2/12/2022,115,374,1,2022-12-02 00:11:00+0000,2022-12-02 09:04:00+0000,2022-12-02 00:11:00,2022-12-02 09:04:00
1/12/2022,0,0,0,2022-12-01 23:00:00+0000,2022-12-01 23:00:00+0000,2022-12-01 23:00:00,2022-12-01 23:00:00
30/11/2022,110,249,0,2022-11-30 00:11:00+0000,2022-11-30 08:15:00+0000,2022-11-30 00:11:00,2022-11-30 08:15:00
29/11/2022,95,299,0,2022-11-29 00:23:00+0000,2022-11-29 08:15:00+0000,2022-11-29 00:23:00,2022-11-29 08:15:00
28/11/2022,113,332,2,2022-11-27 23:37:00+0000,2022-11-28 08:42:00+0000,2022-11-27 23:37:00,2022-11-28 08:42:00
27/11/2022,49,326,0,2022-11-26 23:22:00+0000,2022-11-27 06:51:00+0000,2022-11-26 23:22:00,2022-11-27 06:51:00
26/11/2022,58,197,0,2022-11-26 00:53:00+0000,2022-11-26 06:02:00+0000,2022-11-26 00:53:00,2022-11-26 06:02:00
25/11/2022,67,224,0,2022-11-25 02:24:00+0000,2022-11-25 08:04:00+0000,2022-11-25 02:24:00,2022-11-25 08:04:00
24/11/2022,71,290,0,2022-11-24 01:06:00+0000,2022-11-24 07:47:00+0000,2022-11-24 01:06:00,2022-11-24 07:47:00
23/11/2022,123,347,0,2022-11-22 23:33:00+0000,2022-11-23 08:35:00+0000,2022-11-22 23:33:00,2022-11-23 08:35:00
22/11/2022,0,0,0,2022-11-22 23:00:00+0000,2022-11-22 23:00:00+0000,2022-11-22 23:00:00,2022-11-22 23:00:00
21/11/2022,57,316,0,2022-11-21 00:17:00+0000,2022-11-21 07:34:00+0000,2022-11-21 00:17:00,2022-11-21 07:34:00
20/11/2022,99,227,0,2022-11-20 03:25:00+0000,2022-11-20 09:49:00+0000,2022-11-20 03:25:00,2022-11-20 09:49:00
19/11/2022,77,157,0,2022-11-19 02:35:00+0000,2022-11-19 07:54:00+0000,2022-11-19 02:35:00,2022-11-19 07:54:00
18/11/2022,72,209,0,2022-11-18 01:14:00+0000,2022-11-18 06:57:00+0000,2022-11-18 01:14:00,2022-11-18 06:57:00
17/11/2022,75,251,1,2022-11-17 01:38:00+0000,2022-11-17 08:26:00+0000,2022-11-17 01:38:00,2022-11-17 08:26:00
16/11/2022,82,269,0,2022-11-16 01:17:00+0000,2022-11-16 08:20:00+0000,2022-11-16 01:17:00,2022-11-16 08:20:00
15/11/2022,54,275,0,2022-11-15 01:31:00+0000,2022-11-15 08:07:00+0000,2022-11-15 01:31:00,2022-11-15 08:07:00
14/11/2022,85,189,0,2022-11-14 01:38:00+0000,2022-11-14 06:57:00+0000,2022-11-14 01:38:00,2022-11-14 06:57:00
13/11/2022,99,327,0,2022-11-13 01:45:00+0000,2022-11-13 09:47:00+0000,2022-11-13 01:45:00,2022-11-13 09:47:00
12/11/2022,50,317,0,2022-11-12 01:23:00+0000,2022-11-12 08:18:00+0000,2022-11-12 01:23:00,2022-11-12 08:18:00
11/11/2022,46,185,0,2022-11-11 03:06:00+0000,2022-11-11 07:41:00+0000,2022-11-11 03:06:00,2022-11-11 07:41:00
10/11/2022,83,258,2,2022-11-10 01:41:00+0000,2022-11-10 08:14:00+0000,2022-11-10 01:41:00,2022-11-10 08:14:00
9/11/2022,71,242,0,2022-11-09 02:05:00+0000,2022-11-09 08:22:00+0000,2022-11-09 02:05:00,2022-11-09 08:22:00
8/11/2022,71,269,0,2022-11-08 01:39:00+0000,2022-11-08 07:48:00+0000,2022-11-08 01:39:00,2022-11-08 07:48:00
7/11/2022,92,226,0,2022-11-07 01:41:00+0000,2022-11-07 07:45:00+0000,2022-11-07 01:41:00,2022-11-07 07:45:00
6/11/2022,57,334,0,2022-11-06 02:55:00+0000,2022-11-06 10:24:00+0000,2022-11-06 02:55:00,2022-11-06 10:24:00
5/11/2022,123,351,1,2022-11-05 01:37:00+0000,2022-11-05 10:43:00+0000,2022-11-05 01:37:00,2022-11-05 10:43:00
4/11/2022,0,0,0,2022-11-04 23:00:00+0000,2022-11-04 23:00:00+0000,2022-11-04 23:00:00,2022-11-04 23:00:00
3/11/2022,68,271,0,2022-11-03 01:22:00+0000,2022-11-03 07:53:00+0000,2022-11-03 01:22:00,2022-11-03 07:53:00
2/11/2022,57,288,0,2022-11-02 00:43:00+0000,2022-11-02 07:32:00+0000,2022-11-02 00:43:00,2022-11-02 07:32:00
1/11/2022,63,263,0,2022-11-01 01:06:00+0000,2022-11-01 08:36:00+0000,2022-11-01 01:06:00,2022-11-01 08:36:00
31/10/2022,68,273,0,2022-10-31 00:46:00+0000,2022-10-31 07:34:00+0000,2022-10-31 00:46:00,2022-10-31 07:34:00
30/10/2022,101,272,1,2022-10-29 22:59:00+0000,2022-10-30 06:43:00+0000,2022-10-29 22:59:00,2022-10-30 06:43:00
29/10/2022,64,288,0,2022-10-29 00:21:00+0000,2022-10-29 06:33:00+0000,2022-10-29 00:21:00,2022-10-29 06:33:00
28/10/2022,76,293,1,2022-10-28 00:16:00+0000,2022-10-28 06:55:00+0000,2022-10-28 00:16:00,2022-10-28 06:55:00
27/10/2022,93,251,0,2022-10-27 00:15:00+0000,2022-10-27 07:18:00+0000,2022-10-27 00:15:00,2022-10-27 07:18:00
26/10/2022,81,282,0,2022-10-26 00:31:00+0000,2022-10-26 07:23:00+0000,2022-10-26 00:31:00,2022-10-26 07:23:00
25/10/2022,92,259,0,2022-10-24 23:15:00+0000,2022-10-25 06:33:00+0000,2022-10-24 23:15:00,2022-10-25 06:33:00
24/10/2022,85,201,0,2022-10-24 00:59:00+0000,2022-10-24 06:57:00+0000,2022-10-24 00:59:00,2022-10-24 06:57:00
23/10/2022,59,405,4,2022-10-23 01:15:00+0000,2022-10-23 10:07:00+0000,2022-10-23 01:15:00,2022-10-23 10:07:00
22/10/2022,50,203,0,2022-10-22 00:19:00+0000,2022-10-22 06:05:00+0000,2022-10-22 00:19:00,2022-10-22 06:05:00
21/10/2022,141,382,0,2022-10-20 19:31:00+0000,2022-10-21 06:19:00+0000,2022-10-20 19:31:00,2022-10-21 06:19:00
20/10/2022,103,166,0,2022-10-20 01:09:00+0000,2022-10-20 06:54:00+0000,2022-10-20 01:09:00,2022-10-20 06:54:00
19/10/2022,61,237,0,2022-10-19 00:55:00+0000,2022-10-19 06:49:00+0000,2022-10-19 00:55:00,2022-10-19 06:49:00
18/10/2022,78,173,0,2022-10-18 02:07:00+0000,2022-10-18 07:53:00+0000,2022-10-18 02:07:00,2022-10-18 07:53:00
17/10/2022,83,265,0,2022-10-16 23:37:00+0000,2022-10-17 06:45:00+0000,2022-10-16 23:37:00,2022-10-17 06:45:00
16/10/2022,119,365,0,2022-10-16 00:04:00+0000,2022-10-16 09:19:00+0000,2022-10-16 00:04:00,2022-10-16 09:19:00
15/10/2022,108,196,1,2022-10-15 02:17:00+0000,2022-10-15 08:51:00+0000,2022-10-15 02:17:00,2022-10-15 08:51:00
14/10/2022,67,234,0,2022-10-14 00:11:00+0000,2022-10-14 06:16:00+0000,2022-10-14 00:11:00,2022-10-14 06:16:00
13/10/2022,42,277,0,2022-10-13 00:35:00+0000,2022-10-13 06:46:00+0000,2022-10-13 00:35:00,2022-10-13 06:46:00
12/10/2022,39,273,0,2022-10-12 00:06:00+0000,2022-10-12 06:00:00+0000,2022-10-12 00:06:00,2022-10-12 06:00:00
11/10/2022,86,263,0,2022-10-10 23:55:00+0000,2022-10-11 07:18:00+0000,2022-10-10 23:55:00,2022-10-11 07:18:00
10/10/2022,71,259,0,2022-10-10 00:18:00+0000,2022-10-10 06:39:00+0000,2022-10-10 00:18:00,2022-10-10 06:39:00
9/10/2022,98,349,0,2022-10-09 00:03:00+0000,2022-10-09 08:18:00+0000,2022-10-09 00:03:00,2022-10-09 08:18:00
8/10/2022,70,325,0,2022-10-08 00:32:00+0000,2022-10-08 08:00:00+0000,2022-10-08 00:32:00,2022-10-08 08:00:00
7/10/2022,33,187,18,2022-10-07 00:48:00+0000,2022-10-07 06:03:00+0000,2022-10-07 00:48:00,2022-10-07 06:03:00
6/10/2022,96,235,0,2022-10-06 00:25:00+0000,2022-10-06 06:18:00+0000,2022-10-06 00:25:00,2022-10-06 06:18:00
5/10/2022,54,286,0,2022-10-04 23:56:00+0000,2022-10-05 06:06:00+0000,2022-10-04 23:56:00,2022-10-05 06:06:00
4/10/2022,71,176,0,2022-10-04 00:49:00+0000,2022-10-04 06:13:00+0000,2022-10-04 00:49:00,2022-10-04 06:13:00
3/10/2022,73,361,24,2022-10-03 00:06:00+0000,2022-10-03 09:00:00+0000,2022-10-03 00:06:00,2022-10-03 09:00:00
2/10/2022,121,381,0,2022-10-01 22:58:00+0000,2022-10-02 08:19:00+0000,2022-10-01 22:58:00,2022-10-02 08:19:00
